JOB TITLE,LOCATION,DISCIPLINE,EMPLOYMENT TYPE,Link,Qualifications,RESPONSIBILITIES,BASIC QUALIFICATIONS,PREFERRED SKILLS AND EXPERIENCE,ADDITIONAL REQUIREMENTS,COMPENSATION AND BENEFITS
A&P Technician (Falcon Operations),"Vandenberg, CA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6841022002?gh_jid=6841022002,"High school diploma or equivalency certificate
2+ years of professional experience working hands-on as a technician in the aerospace, aviation, automotive, or oil and gas industry","Stage, set up, assemble, flight hardware and test equipment per technical work instructions and ensure the highest level of quality to support the successful launch of a world class launch vehicle Hands-on operations with both large and small, fragile ESD sensitive assemblies Proficiently use various mechanical tools and heavy machinery Complete tasks related to site preventative maintenance in accordance with the asset management system Maintain, troubleshoot, and install fluid and electromechanical components from a schematic or drawing Work closely with engineers and leadership to develop and implement operational improvements focused on driving takt times down and ease of repeatability Rapidly change roles/responsibilities while working in a high-paced, challenging work environment Play a critical role in coordinated launch vehicle movements and integrated pressurized ground operations","High school diploma or equivalency certificate 2+ years of professional experience working hands-on as a technician in the aerospace, aviation, automotive, or oil and gas industry","Associate degree in aerospace technology or equivalent area of study Strong written and oral communication skills Meticulous attention to detail Ability to take project goals, inputs, and work toward the end-goal beyond individual task assignment Experience populating and repairing connectors ranging from D-SUB, BNC, TNC, N-TYPE SMA 8P8C Strong working knowledge of Microsoft Office (Excel, PowerPoint, Word, Outlook) Experience working in a clean room and ESD sensitive environment Able to obtain or currently hold top secret/ SCI security clearance Knowledge of pressure, temperature, and flow measurement devices Experience maintaining a propulsion test stand in the aerospace industry Experience working at a rocket launch facility and supporting launch campaigns Military aviation experience as a propulsion or airframe technician Skill in operating and manipulating machinery and various hand and power tools requiring manual dexterity Experience with forklifts, cranes, and heavy equipment Familiarity with calibrated measurement devices including load cells, multi-meters, calipers, torque wrenches, depth gauges, and micrometers","Ability to pass Air Force background check for Vandenberg Ability to work all shifts, overtime and weekends as needed. Estimated start times: 1st Shift (6AM), 2nd Shift (5PM) Must be able to work while wearing air purifying and/or supplied air respirators Work schedule varies depending on site operational needs, and flexibility is required Must be able to lift up to 25 lbs. unassisted Lifting, standing, climbing, bending, grasping, sitting, pulling, pushing, stooping, stretching, and carrying are generally required to perform the functions of this position Must be able to work at elevated heights (up to 300 feet), including the use of ladders Must be willing to operate heavy machinery Must be able to work in confined spaces Typically exposed to work in extreme outdoor environments – heat, cold, rain, ice Work performed in an environment requiring exposure to fumes, odors, and noise Willing to travel to other SpaceX sites as needed","Pay range: A&P Technician/Level 1: $22.00 - $29.75/hour A&P Technician/Level 2: $27.50 - $35.75/hour A&P Technician/Level 3: $33.00 - $41.75/hour Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year."
A&P Technician (Starship),"Starbase, TX",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6971899002?gh_jid=6971899002,"To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.  ","Stage, set up, assemble, test and install flight hardware Use precision calibrated tools – torque wrenches, micrometers and calipers Hands on operations with both large and small fragile assemblies Read and interpret blue prints Perform work according to procedures, specifications, and test instructions. Use various mechanical tools without instruction Collaborate with production engineers to develop and document activities. Ensure all production services are performed on time, safely and in a professional manner Perform other related duties, as assigned, for the purpose of ensuring an efficient and effective work environment Perform hydro and pneumatic testing","High school diploma or equivalency certificate 2+ years of professional experience in an aerospace, aviation, automotive and/or manufacturing environment","A&P certification 3+ years of professional experience as a technician with propulsion systems 2+ years of relevant professional experience interpreting technical data and using manual and powered tool Experience in the aerospace industry, aviation, military or other high-reliability operating environment Experience with forklifts, cranes and heavy equipment Knowledge of pressure, temperature and flow measurement devices, mechanical and electrical systems, and propulsion engines Skill in operating and manipulating machinery and various hand and power tools requiring manual dexterity A demonstrated ability in reading/understanding technical drawings, manuals and reports Ability to use precision measuring instruments Ability to work effectively in a team environment Ability to rapidly change roles/responsibilities while working in a high-paced, challenging work environment","Must be willing to work all shifts, overtime, and weekends as needed Must be able to lift at least 25 lbs unassisted Must be able to climb ladders and work in tight spaces Must be willing to travel up to 5% Ability to pass Air Force background checks for Cape Canaveral and Vandenberg","  Pay range:  Level 1: $18.00/hour Level 2: $23.00/hour Level 3: $28.00/hour Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year."
"Accountant, International","Hawthorne, CA",Finance & Accounting,Full-Time,https://boards.greenhouse.io/spacex/jobs/6621861002?gh_jid=6621861002,"Bachelor’s degree in accounting, finance, business, or other business discipline
1+ years of accounting experience","Participate in the accounting close process to ensure timely and accurate reporting of all monthly accounting financial information for Starlink subsidiaries Prepare journal entries, balance sheet reconciliations, accruals, reserves, intercompany transactions, and foreign currency conversions as required to support Starlink Partner with local service providers as needed to review and coordinate international statutory filings, including bridging statutory financial and tax books to U.S. GAAP Support tax team and local service providers to meet international regulatory and tax compliance needs, including VAT/GST and maintaining proper documentation for local country tax refunds/credits Support efforts to improve processes and reporting, including standardization efforts Prepare schedules and supporting documentation related to external audit requirements, and interact with external auditors as required Participate on special projects as requested","Bachelor’s degree in accounting, finance, business, or other business discipline 1+ years of accounting experience","CPA license (or equivalent) Big 4 accounting firm experience  Proficient computer sills, including Excel Experience with US GAAP and international accounting standards (IFRS or other local accounting standards), and multiple currency environments Experience with MS Dynamics 365 or other ERP accounting systems Ability to analyze a high volume of transactions and data; SQL experience is a plus Demonstrated strengths in organizational, attention-to-detail, follow-through, reasoning, critical thinking, and problem-solving skills Strong analytical skills with the ability to seek underlying assumptions through probing, questioning, and listening Strong written, verbal, and interpersonal communications skills including ability to listen attentively and to communicate information clearly and effectively Demonstrated time management skills and ability to work independently, handle multiple priorities concurrently with shifting time frames, and meet deadlines; self-starter with high degree of initiative, urgency, and follow through Demonstrated ability to work in a team, facilitate effective team interactions, and to foster a positive work environment; willingness to assist teammates in order to achieve departmental goal",,"Pay range:  Accountant: $75,000.00 - $115,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
"Accounting Manager, International (LATAM)","Hawthorne, CA",Finance & Accounting,Full-Time,https://boards.greenhouse.io/spacex/jobs/6936166002?gh_jid=6936166002,"Bachelor’s degree in accounting, finance, business or STEM
8+ years of experience in accounting within global organizations, including at least 3+ years in a managerial capacity
Experience with intercompany transactions, consolidations, foreign currency translation, and/or statutory reporting compliance requirements
Bilingual in Spanish",nan,nan,nan,nan,nan
Accounts Payable Specialist,"Hawthorne, CA",Finance & Accounting,Full-Time,https://boards.greenhouse.io/spacex/jobs/6990876002?gh_jid=6990876002,,"Process a high volume of vendor invoices Match invoices to purchase orders and receipts and the resolution of any discrepancies Review invoices for appropriate documentation and approval prior to payment Respond to external vendors and internal managers in regard to all aspects of the accounts payable process Contribute to departmental automation and process improvement projects Reconcile vendor statements, research, and correct discrepancies","Bachelor’s degree 1+ years of accounts payable, finance, and/or operations experience (internship experience qualifies)","Strong interest in automation and process improvement Experience with Microsoft Excel and Microsoft Dynamics 365 (or other ERP accounting systems) Experience with SQL Experience with processing payments to international vendors in foreign currencies and languages (including Spanish) Ability to work independently and with a team in a fast-paced, high-volume environment Exceptional organizational skills, meticulous attention to detail, and the ability to adapt quickly to new situations Excellent verbal and written communication skills with the ability to interact at all levels of the organization",This position requires the ability to work overtime when needed,"Pay Range:     Accounts Payable Specialist/Level 1: $27.00/hour     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year.         "
Accounts Receivable Specialist (Starlink Enterprise),"Hawthorne, CA",Finance & Accounting,Full-Time,https://boards.greenhouse.io/spacex/jobs/6978629002?gh_jid=6978629002,"Bachelor’s degree and 2+ years of experience in accounts receivable, finance or invoicing; OR high school equivalency certificate and 6+ year of professional experience in accounts receivable, finance or invoicing in lieu of a degree","Organize and maintain customer contracts, documentation, and schedules Maintain tracking of performance obligations per the customer contracts Prepare accurate invoices with supporting documentation based on contract requirements, corporate practices, and government regulations Maintain billing schedules to ensure timely contract invoicing Handle correspondence between DFAS / DCMA/ DCAA for invoicing issues Responsible for collections, aging, and ad hoc status reports Assist in process improvement and EDI/ SFTP implementation into internal platforms Act as Accounts Receivable and Invoice Specialist point of contact for a robust portfolio of assigned government & enterprise customers and own the interface from contract signature onwards with emphasis on: Delivering impeccable customer service, including efficient acknowledgement and resolution of issues Building relationships to identify requirements and manage expectations Collecting, communicating, and championing customer feedback internally to influence and steer programmatic and technical development required to maintain and grow enterprise business Retaining and growing the value of accounts Identify and successfully communicate readiness levels, requirements, schedules, and risks to realize forecasted revenue on or ahead of schedule Identify, design, and lead implementation of system enhancements and automations to improve the internal and external system interfaces","Bachelor’s degree and 2+ years of experience in accounts receivable, finance or invoicing; OR high school equivalency certificate and 6+ year of professional experience in accounts receivable, finance or invoicing in lieu of a degree","Bachelor's degree in finance or business related field Experience submitting electronic invoices using Wide Area Workflow (WAWF), Invoice Processing Platform (IPP), Tungsten-Network, and other methods as required by the contract Significant knowledge or experience in Government Contracts and Customer Relationship Management platforms Experience managing multiple complex projects and delivering under tight deadlines and resource constraints Experience building long-term and successful customer relationships demonstrating empathy, active listening, and resiliency skills Technical knowledge of Starlink or telecommunications in at least one key area: satellites, ground network, user terminals, or related technology Ability to synthesize multiple unique requirements and suggest smart solutions Track record of demonstrating sound business judgement, evaluating alternatives, and making recommendations that were adopted and ultimately successful Excellent written and verbal communication skills, including ability to craft and present professional solutions to leadership within the Account Management teams Ability to manage execution of significant or complex contracts including initial intake, schedules, invoicing and accounts receivable actions ADDITIONAL REQUIRMENTS: Must be available to work extended hours and/or weekends as needed to support critical milestones or operations shifts Availability and willingness to travel as needed to customer sites and meetings",,"Pay Range:     Accounts Receivable Specialist: $75,000.00 - $95,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Additive Technician (Machining Production) - 2nd Shift,"Hawthorne, CA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/7030287002?gh_jid=7030287002,"High school diploma or equivalency certificate
2 years of experience in a manufacturing environment or a fast paced environment","Provides scheduling details, any needed instructional guidance of job assignments, correct procedures and applicable techniques to perform specific skills; ensures accuracy and completion Updates daily priorities based on input from leadership to ensure team and company goals are met Becomes trained and competent on required tools and equipment Provides leadership by setting an example, being a model, taking input and deciding how it fits according to our strategic initiatives Identifies process improvement opportunities and ensures operations are lean, efficient and effective Facilitates communication between team members throughout our business Ensures Additive team members are following SpaceX procedures and stipulations to create a safe environment Starts additive prints on schedule provided by leadership Performs PM’s and machine maintenance autonomously Masters all post processing actions from de-powdering to warehouse execution based actions such as splitting tensile coupons and maintaining proper traceability Maintains, troubleshoots, calibrates, and repairs equipment and instrumentation as needed Follows all necessary regulations and appropriate SpaceX procedures including quality policies, safety policies, OSHA, EPA, NIOSH, NFPA, ASME, NEC, etc. Performs a variety of related duties including part movements and systematic traceability operations in support of Machining Works independently or as part of a team, meets aggressive schedules, provides guidance to team members",High school diploma or equivalency certificate 2+ years of experience in a manufacturing environment or a fast paced environment,"Understand basic G-Code and comfortable making adjustment to feed/speed Ability to use hand inspection tools to check machined features Familiar with multiple machine control, OSP, Fanuc, and Siemens Experience working with various material, such as Inconel, stainless steel, copper, titanium Ability to read and work off of a blueprint","A good understanding of SAE and metric dimensioning Experience operating fabrication equipment including saws, grinders, sanders, drills, manual and CNC mills and lathes Experience in daily operation, preventive maintenance, and high level troubleshooting of additive manufacturing platforms Experience in a high-volume and/or fast paced environment Good understanding of facility support systems including compressed air, inert gasses, chilling water, and electrical Basic computer skill, problem solving and decision making skills, and strong written and verbal communication skills Ability to use ShopFloor, Warehouse Execution, and Work Order Dispatch Experience operating EOS and Xline printer platforms","Pay range:     Additive Technician /Level 1: $20.00 - $27.00/hour     Additive Technician /Level 2: $25.00 - $32.50/hour     Additive Technician /Level 3: $30.00 - $38.00/hour     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year."
Antenna Engineer,"Hawthorne, CA",Engineering - Electrical,Full-Time,https://boards.greenhouse.io/spacex/jobs/6576482002?gh_jid=6576482002,"Bachelor's degree in an engineering discipline with emphasis in electromagnetic theory and/or microwave circuits
2+ years of professional or project experience designing, building, or testing antennas ","Design and test RF antenna hardware for communications and sensors/instruments – in VHF through Ka-band – from concept to production Create EM simulation models of hardware (antennas, filters, PCB layout) to design or evaluate performance Analyze wireless systems (antenna isolation, patterns with large structures, propagation effects, etc.)","Bachelor's degree in an engineering discipline with emphasis in electromagnetic theory and/or microwave circuits 2+ years of professional or project experience designing, building, or testing antennas ","Master's degree in electrical engineering (electromagnetics or circuits) Hands on experience with test equipment such as spectrum analyzer, signal generator, network analyzer, power meters, and RF passive components Experience with Near-field or Far-field chamber design and operation Proficiency with electrical schematic capture software (Altium, Orcad or similar) Experience with electromagnetics simulation tools such as HFSS, CST, Savant, or similar – including tradeoffs of FEM, MoM, FDTD, and PO methods Experience with Python, MATLAB, or C/C++ programming for data analysis or test equipment interfacing Basic CAD skills for prototype designs and working directly with mechanical engineers Experience with phased array calibration and testing Must be able to navigate the smith chart and experience with transmission line theory, impedance matching, filters, and S-parameters Excellent communication and documentation skills, and ability to collaborate with other engineering disciplines",Extended hours and weekend work may be required to support critical project and mission milestones,"Pay range:     Antenna Engineer/Level I: $120,000.00 - $145,000.00/per year     Antenna Engineer/Level II: $140,000.00 - $170,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Antenna Engineer (Starshield),"Redmond, WA",Engineering - Electrical,Full-Time,https://boards.greenhouse.io/spacex/jobs/6928551002?gh_jid=6928551002,"Bachelor’s degree in computer engineering, electrical engineering
1+ years of research or development experience in the areas of RF and antennas (internship and thesis work are acceptable)
1+ years of experience using one of the 3D EM simulation tools such as CST, HFSS, FEKO, EMPro, TICRA, or XFDTD
Experience with basic RF concepts such as impedance matching, linear and aperture antennas, smith chart, power handling metrics (IIP2, IMD), microwave network analysis, or RF filter design","Design of advanced antenna and feed systems in support of next generation products including phased array and reflector products Fabricate and characterize prototypes of antennas, feed systems and RF front ends Contribute to development of software and testing of digital beamforming systems to demonstrate full phased array functionality Provide phased array expertise to set specifications and debug problems covering satellite phased array products Lead or support integration of antennas to spacecraft and other systems Analyze in-the-field operational RF performance data of units and investigate methods to improve performance and debug issues","Bachelor’s degree in computer engineering, electrical engineering 1+ years of research or development experience in the areas of RF and antennas (internship and thesis work are acceptable) 1+ years of experience using one of the 3D EM simulation tools such as CST, HFSS, FEKO, EMPro, TICRA, or XFDTD Experience with basic RF concepts such as impedance matching, linear and aperture antennas, smith chart, power handling metrics (IIP2, IMD), microwave network analysis, or RF filter design","Master’s degree or PhD in electrical engineering with some research/thesis work on RF or antennas Experience with RF systems including SIGINT, ELINT, radar, or communications 1+ years of programming experience in Python, C#, C++, or MATLAB  Experience designing RF systems including radio astronomy, SIGINT, ELINT, radar, or wireless communications Familiar with antenna measurement techniques and tools such as anechoic/reverb chambers, near field EM measurements Familiar with one of the mainstream RF circuit simulation tools: AWR, ADS, Genesys Familiar with antenna prototyping tools and techniques Ability to work in a fast paced, autonomously driven, and demanding start­up atmosphere Excellent communication skills both written and verbal Passion for advancing the commercial and National Security space industry Ability and willingness to obtain a Top-Secret clearance","An active clearance may provide the opportunity for you to work on sensitive SpaceX missions; if so, you will be subject to pre-employment drug and random drug and alcohol testing Must be willing to work extended hours and weekends as needed","Pay range:     Antenna Engineer/Level I: $120,000.00 - $145,000.00/per year     Antenna Engineer/Level II: $140,000.00 - $170,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Antenna Engineer (Starshield),"Hawthorne, CA",Engineering - Electrical,Full-Time,https://boards.greenhouse.io/spacex/jobs/6928581002?gh_jid=6928581002,"Bachelor’s degree in computer engineering, electrical engineering
1+ years of research or development experience in the areas of RF and antennas (internship and thesis work are acceptable)
1+ years of experience using one of the 3D EM simulation tools such as CST, HFSS, FEKO, EMPro, TICRA, or XFDTD
Experience with basic RF concepts such as impedance matching, linear and aperture antennas, smith chart, power handling metrics (IIP2, IMD), microwave network analysis, RF filter design","Design of advanced antenna and feed systems in support of next generation products including phased array and reflector products Fabricate and characterize prototypes of antennas, feed systems and RF front ends Contribute to development of software and testing of digital beamforming systems to demonstrate full phased array functionality Provide phased array expertise to set specifications and debug problems covering satellite phased array products Lead or support integration of antennas to spacecraft and other systems Analyze in-the-field operational RF performance data of units and investigate methods to improve performance and debug issues","Bachelor’s degree in computer engineering, electrical engineering 1+ years of research or development experience in the areas of RF and antennas (internship and thesis work are acceptable) 1+ years of experience using one of the 3D EM simulation tools such as CST, HFSS, FEKO, EMPro, TICRA, or XFDTD Experience with basic RF concepts such as impedance matching, linear and aperture antennas, smith chart, power handling metrics (IIP2, IMD), microwave network analysis, or RF filter design","Master’s degree or PhD in electrical engineering with some research/thesis work on RF or antennas Experience with RF systems including SIGINT, ELINT, radar, or communications 1+ years of programming experience in Python, C#, C++, or MATLAB  Experience designing RF systems including radio astronomy, SIGINT, ELINT, radar, or wireless communications Familiar with antenna measurement techniques and tools such as anechoic/reverb chambers, near field EM measurements Familiar with one of the mainstream RF circuit simulation tools: AWR, ADS, Genesys Familiar with antenna prototyping tools and techniques Ability to work in a fast paced, autonomously driven, and demanding start­up atmosphere Excellent communication skills both written and verbal Passion for advancing the commercial and National Security space industry Ability and willingness to obtain a Top-Secret clearance","An active clearance may provide the opportunity for you to work on sensitive SpaceX missions; if so, you will be subject to pre-employment drug and random drug and alcohol testing Must be willing to work extended hours and weekends as needed","Pay range:     Antenna Engineer/Level I: $120,000.00 - $145,000.00/per year     Antenna Engineer/Level II: $140,000.00 - $170,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
